Month,ProductSales
4/14/2019,5167.72
4/15/2019,5067.11
4/16/2019,5235.56
4/17/2019,5251.94
4/18/2019,5298.39
4/19/2019,5303.81
4/20/2019,5337.89
4/21/2019,5314.53
4/22/2019,5399.37
4/23/2019,5572.36
4/24/2019,5464.87
4/25/2019,5210.52
4/26/2019,5279.35
4/27/2019,5268.29
4/28/2019,5285.14
4/29/2019,5247.35
4/30/2019,5350.73
5/1/2019,5402.7
5/2/2019,5505.28
5/3/2019,5768.29
5/4/2019,5831.17
5/5/2019,5795.71
5/6/2019,5746.81
5/7/2019,5829.5
5/8/2019,5982.46
5/9/2019,6174.53
5/10/2019,6378.85
5/11/2019,7204.77
5/12/2019,6972.37
5/13/2019,7814.92
5/14/2019,7994.42
5/15/2019,8205.17
5/16/2019,7884.91
5/17/2019,7343.9
5/18/2019,7271.21
5/19/2019,8197.69
5/20/2019,7978.31
5/21/2019,7963.33
5/22/2019,7680.07
5/23/2019,7881.85
5/24/2019,7987.37
5/25/2019,8052.54
5/26/2019,8673.22
5/27/2019,8805.78
5/28/2019,8719.96
5/29/2019,8659.49
5/30/2019,8319.47
5/31/2019,8574.5
6/1/2019,8564.02
6/2/2019,8742.96
6/3/2019,8208.99
6/4/2019,7707.77
6/5/2019,7824.23
6/6/2019,7822.02
6/7/2019,8043.95
6/8/2019,7954.13
6/9/2019,7688.08
6/10/2019,8000.33
6/11/2019,7927.71
6/12/2019,8145.86
6/13/2019,8230.92
6/14/2019,8693.83
6/15/2019,8838.38
6/16/2019,8994.49
6/17/2019,9320.35
6/18/2019,9081.76
6/19/2019,9273.52
6/20/2019,9527.16
6/21/2019,10144.56
6/22/2019,10701.69
6/23/2019,10855.37
6/24/2019,11011.1
6/25/2019,11790.92
6/26/2019,13016.23
6/27/2019,11182.81
6/28/2019,12407.33
6/29/2019,11959.37
6/30/2019,10817.16
7/1/2019,10583.13
7/2/2019,10801.68
7/3/2019,11961.27
7/4/2019,11215.44
7/5/2019,10978.46
7/6/2019,11208.55
7/7/2019,11450.85
7/8/2019,12285.96
7/9/2019,12573.81
7/10/2019,12156.51
7/11/2019,11358.66
7/12/2019,11815.99
7/13/2019,11392.38
7/14/2019,10256.06
7/15/2019,10895.09
7/16/2019,9477.64
7/17/2019,9693.8
7/18/2019,10666.48
7/19/2019,10530.73
7/20/2019,10767.14
7/21/2019,10599.11
7/22/2019,10343.11
7/23/2019,9900.77
7/24/2019,9811.93
7/25/2019,9911.84
7/26/2019,9870.3
7/27/2019,9477.68
7/28/2019,9552.86
7/29/2019,9519.15
7/30/2019,9607.42
7/31/2019,10085.63
8/1/2019,10399.67
8/2/2019,10518.17
8/3/2019,10821.73
8/4/2019,10970.18
8/5/2019,11805.65
8/6/2019,11478.17
8/7/2019,11941.97
8/8/2019,11966.41
8/9/2019,11862.94
8/10/2019,11354.02
8/11/2019,11523.58
8/12/2019,11382.62
8/13/2019,10895.83
8/14/2019,10051.7
8/15/2019,10311.55
8/16/2019,10374.34
8/17/2019,10231.74
8/18/2019,10345.81
8/19/2019,10916.05
8/20/2019,10763.23
8/21/2019,10138.05
8/22/2019,10131.06
8/23/2019,10407.97
8/24/2019,10159.96
8/25/2019,10138.52
8/26/2019,10370.82
8/27/2019,10185.5
8/28/2019,9754.42
8/29/2019,9510.2
8/30/2019,9598.17
8/31/2019,9630.66
9/1/2019,9757.97
9/2/2019,10346.76
9/3/2019,10623.54
9/4/2019,10594.49
9/5/2019,10575.53
9/6/2019,10353.3
9/7/2019,10517.25
9/8/2019,10441.28
9/9/2019,10334.97
9/10/2019,10115.98
9/11/2019,10178.37
9/12/2019,10410.13
9/13/2019,10360.55
9/14/2019,10358.05
9/15/2019,10347.71
9/16/2019,10276.79
9/17/2019,10241.27
9/18/2019,10198.25
9/19/2019,10266.41
9/20/2019,10181.64
9/21/2019,10019.72
9/22/2019,10070.39
9/23/2019,9857.38
9/24/2019,9747.47
9/25/2019,8486.99
9/26/2019,8118.97
9/27/2019,8251.85
9/28/2019,8245.92
9/29/2019,8104.19
9/30/2019,8293.87
10/1/2019,8343.28
10/2/2019,8393.04
